INFO:root:Step 6300:	 LOSS 0.26786401867866516 	 Top1 95.3125 	 Top5 100.0
INFO:root:Step 6400:	 LOSS 0.23058739304542542 	 Top1 93.75 	 Top5 100.0
INFO:root:Step 6500:	 LOSS 0.4001244008541107 	 Top1 85.9375 	 Top5 98.4375
INFO:root:Step 6600:	 LOSS 0.1403185874223709 	 Top1 96.875 	 Top5 100.0
INFO:root:Step 6700:	 LOSS 0.38713371753692627 	 Top1 90.625 	 Top5 98.4375
INFO:root:Step 6800:	 LOSS 0.32529276609420776 	 Top1 90.625 	 Top5 98.4375
INFO:root:Step 6900:	 LOSS 0.6908895373344421 	 Top1 89.0625 	 Top5 93.75
INFO:root:Step 7000:	 LOSS 0.4581778943538666 	 Top1 89.0625 	 Top5 95.3125
INFO:root:Step 7100:	 LOSS 0.6753210425376892 	 Top1 81.25 	 Top5 93.75
INFO:root:Step 7200:	 LOSS 0.5729129314422607 	 Top1 81.25 	 Top5 98.4375
INFO:root:Step 7300:	 LOSS 0.4278782606124878 	 Top1 92.1875 	 Top5 96.875
INFO:root:Step 7400:	 LOSS 0.21111881732940674 	 Top1 98.4375 	 Top5 98.4375
INFO:root:Step 7500:	 LOSS 0.7166010737419128 	 Top1 82.8125 	 Top5 95.3125
INFO:root:Step 7600:	 LOSS 0.25119802355766296 	 Top1 92.1875 	 Top5 100.0
INFO:root:Step 7700:	 LOSS 0.48787081241607666 	 Top1 85.9375 	 Top5 95.3125
INFO:root:Step 7800:	 LOSS 0.6674638390541077 	 Top1 81.25 	 Top5 95.3125
INFO:root:Step 7900:	 LOSS 0.32817596197128296 	 Top1 89.0625 	 Top5 100.0
INFO:root:Step 8000:	 LOSS 0.2899917960166931 	 Top1 90.625 	 Top5 98.4375
INFO:root:Step 8100:	 LOSS 0.24390530586242676 	 Top1 92.1875 	 Top5 100.0
INFO:root:Step 8200:	 LOSS 0.3408964276313782 	 Top1 95.3125 	 Top5 96.875
INFO:root:Step 8300:	 LOSS 0.3977048695087433 	 Top1 93.75 	 Top5 100.0
INFO:root:Step 8400:	 LOSS 0.33555302023887634 	 Top1 92.1875 	 Top5 96.875
INFO:root:Step 8500:	 LOSS 0.45972758531570435 	 Top1 85.9375 	 Top5 96.875
INFO:root:Step 8600:	 LOSS 0.4752545952796936 	 Top1 85.9375 	 Top5 96.875
INFO:root:Step 8700:	 LOSS 0.5200448632240295 	 Top1 81.25 	 Top5 96.875
INFO:root:Step 0:	 LOSS 2.963195562362671 	 Top1 40.625 	 Top5 64.0625
INFO:root:Step 100:	 LOSS 1.376781940460205 	 Top1 62.5 	 Top5 84.375
INFO:root:Step 200:	 LOSS 0.3322685956954956 	 Top1 95.3125 	 Top5 100.0
INFO:root:Step 300:	 LOSS 1.4059675931930542 	 Top1 75.0 	 Top5 85.9375
INFO:root:Step 400:	 LOSS 0.9241704940795898 	 Top1 76.5625 	 Top5 95.3125
INFO:root:Step 500:	 LOSS 0.8500859141349792 	 Top1 76.5625 	 Top5 90.625
INFO:root:Step 600:	 LOSS 0.6862785816192627 	 Top1 81.25 	 Top5 96.875
INFO:root:Step 700:	 LOSS 0.7128967642784119 	 Top1 76.5625 	 Top5 95.3125
INFO:root:Step 800:	 LOSS 0.7995092272758484 	 Top1 81.25 	 Top5 93.75
INFO:root:Step 900:	 LOSS 0.9845585227012634 	 Top1 82.8125 	 Top5 90.625
INFO:root:Step 1000:	 LOSS 0.8044979572296143 	 Top1 81.25 	 Top5 93.75
INFO:root:Step 1100:	 LOSS 0.7366359233856201 	 Top1 85.9375 	 Top5 90.625
INFO:root:Step 1200:	 LOSS 0.8396719098091125 	 Top1 79.6875 	 Top5 93.75
INFO:root:Step 1300:	 LOSS 0.5635467767715454 	 Top1 92.1875 	 Top5 96.875
INFO:root:Step 1400:	 LOSS 0.601380467414856 	 Top1 85.9375 	 Top5 93.75
INFO:root:Step 1500:	 LOSS 0.6228077411651611 	 Top1 81.25 	 Top5 95.3125
INFO:root:Step 1600:	 LOSS 0.6865113973617554 	 Top1 84.375 	 Top5 90.625
INFO:root:Step 1700:	 LOSS 0.29024481773376465 	 Top1 95.3125 	 Top5 100.0
INFO:root:Step 1800:	 LOSS 0.2379951924085617 	 Top1 95.3125 	 Top5 100.0
INFO:root:Step 1900:	 LOSS 0.638893723487854 	 Top1 78.125 	 Top5 95.3125
INFO:root:Step 2000:	 LOSS 0.9871235489845276 	 Top1 76.5625 	 Top5 90.625
INFO:root:Step 2100:	 LOSS 0.20546850562095642 	 Top1 93.75 	 Top5 100.0
INFO:root:Step 2200:	 LOSS 0.400086373090744 	 Top1 89.0625 	 Top5 98.4375
INFO:root:Step 2300:	 LOSS 0.5920602679252625 	 Top1 84.375 	 Top5 96.875
INFO:root:Step 2400:	 LOSS 0.5829089879989624 	 Top1 82.8125 	 Top5 92.1875
INFO:root:Step 2500:	 LOSS 0.6899608969688416 	 Top1 85.9375 	 Top5 93.75
