INFO:root:Step 6400:	 LOSS 0.5983244776725769 	 Top1 87.5 	 Top5 96.875
INFO:root:Step 6500:	 LOSS 1.0864149332046509 	 Top1 70.3125 	 Top5 93.75
INFO:root:Step 6600:	 LOSS 0.6150239109992981 	 Top1 82.8125 	 Top5 98.4375
INFO:root:Step 6700:	 LOSS 0.6713171601295471 	 Top1 79.6875 	 Top5 100.0
INFO:root:Step 6800:	 LOSS 1.2249794006347656 	 Top1 65.625 	 Top5 87.5
INFO:root:Step 6900:	 LOSS 1.1124022006988525 	 Top1 73.4375 	 Top5 90.625
INFO:root:Step 7000:	 LOSS 0.8875100612640381 	 Top1 78.125 	 Top5 92.1875
INFO:root:Step 7100:	 LOSS 1.4218413829803467 	 Top1 60.9375 	 Top5 92.1875
INFO:root:Step 7200:	 LOSS 1.6020779609680176 	 Top1 46.875 	 Top5 85.9375
INFO:root:Step 7300:	 LOSS 1.1136391162872314 	 Top1 73.4375 	 Top5 93.75
INFO:root:Step 7400:	 LOSS 1.1898373365402222 	 Top1 73.4375 	 Top5 84.375
INFO:root:Step 7500:	 LOSS 1.5652506351470947 	 Top1 64.0625 	 Top5 84.375
INFO:root:Step 7600:	 LOSS 1.0106979608535767 	 Top1 73.4375 	 Top5 89.0625
INFO:root:Step 7700:	 LOSS 0.9615390300750732 	 Top1 75.0 	 Top5 90.625
INFO:root:Step 7800:	 LOSS 1.2931187152862549 	 Top1 64.0625 	 Top5 89.0625
INFO:root:Step 7900:	 LOSS 1.1486670970916748 	 Top1 70.3125 	 Top5 92.1875
INFO:root:Step 8000:	 LOSS 1.1396498680114746 	 Top1 67.1875 	 Top5 87.5
INFO:root:Step 8100:	 LOSS 0.6792877316474915 	 Top1 87.5 	 Top5 93.75
INFO:root:Step 8200:	 LOSS 0.7514655590057373 	 Top1 73.4375 	 Top5 95.3125
INFO:root:Step 8300:	 LOSS 1.128436803817749 	 Top1 68.75 	 Top5 92.1875
INFO:root:Step 8400:	 LOSS 1.1623249053955078 	 Top1 70.3125 	 Top5 87.5
INFO:root:Step 8500:	 LOSS 1.147007703781128 	 Top1 68.75 	 Top5 87.5
INFO:root:Step 8600:	 LOSS 0.8835729956626892 	 Top1 70.3125 	 Top5 95.3125
INFO:root:Step 8700:	 LOSS 0.9325642585754395 	 Top1 73.4375 	 Top5 92.1875
INFO:root:Step 8800:	 LOSS 0.9264556169509888 	 Top1 76.5625 	 Top5 93.75
INFO:root:Step 8900:	 LOSS 1.198907494544983 	 Top1 67.1875 	 Top5 84.375
INFO:root:Step 9000:	 LOSS 1.130871057510376 	 Top1 68.75 	 Top5 90.625
INFO:root:Step 9100:	 LOSS 0.8816097974777222 	 Top1 82.8125 	 Top5 90.625
INFO:root:Step 9200:	 LOSS 1.2682534456253052 	 Top1 65.625 	 Top5 87.5
INFO:root:Step 9300:	 LOSS 1.3450299501419067 	 Top1 70.3125 	 Top5 85.9375
DEBUG:root:Epoch: 2	Loss: 0.9189130067825317	Top1 accuracy: 70.3125
