TRAINABLE LAYERS:MODEL_LAYER: backbone.conv1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.3.bn2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.3.bn2.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.3.conv3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.3.bn3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.3.bn3.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.4.conv1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.4.bn1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.4.bn1.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.4.conv2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.4.bn2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.4.bn2.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.4.conv3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.4.bn3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.4.bn3.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.5.conv1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.5.bn1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.5.bn1.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.5.conv2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.5.bn2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.5.bn2.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.5.conv3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.5.bn3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.5.bn3.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.0.conv1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.0.bn1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.0.bn1.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.0.conv2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.0.bn2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.0.bn2.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.0.conv3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.0.bn3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.0.bn3.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.0.downsample.0.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.0.downsample.1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.0.downsample.1.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.1.conv1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.1.bn1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.1.bn1.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.1.conv2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.1.bn2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.1.bn2.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.1.conv3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.1.bn3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.1.bn3.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.2.conv1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.2.bn1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.2.bn1.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.2.conv2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.2.bn2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.2.bn2.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.2.conv3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.2.bn3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer4.2.bn3.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.fc.0.weight 	 REQUIRES TRAINING: True
MODEL_LAYER: backbone.fc.0.bias 	 REQUIRES TRAINING: True
MODEL_LAYER: backbone.fc.2.weight 	 REQUIRES TRAINING: True
MODEL_LAYER: backbone.fc.2.bias 	 REQUIRES TRAINING: True
